what,kind,bundleId,bundleVersion,description,time
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517325677985
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1517325678378
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1517325678384
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1517325678385
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1517325678385
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1517325678392
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517325699372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517325703940
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1517325704562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325704947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325718105
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517325719394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325723767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325726330
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1517325726890
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517325730063
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517325731633
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517325736892
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517325753506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1517325754664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325758495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325855769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326004718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326145426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517326151008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517326151158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517326155871
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517326165318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326168475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326171266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326215384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326215852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326236545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326242256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326245595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326248274
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1517326248842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326248887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326251481
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517326258521
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517326260013
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517326265273
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517326295791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517326297369
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1517326297876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326298224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326306351
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517326308535
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517326311750
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517326312549
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517326313543
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517326329103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517326336266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517326336449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517326340735
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1517326341355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326341673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326350288
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517326361504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326364802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326367618
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1517326368262
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517326373369
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517326376042
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1021030] return code: 4, 'other error'",1517326376957
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1021030, /cygdrive/h/Year_3/DSD/system_template_de0/software/task4v2/task4v2.elf] return code: 4, 'other error'",1517326381110
error,log,,,"Downloading ELF Process failed",1517326381118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326381200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326384945
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517326389112
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1517326394370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326394473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326398269
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517326398765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517326403669
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1517326404509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326404897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326414712
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517326414747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326418775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326421472
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1517326422036
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517326425622
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517326427186
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517326432435
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517326499994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517326503893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517326508602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517326509799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517326509979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517326513398
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1517326514274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326514652
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517326515759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326515763
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517326515775
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517326525313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326527713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326530374
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1517326530962
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517326534476
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517326537509
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1021030] return code: 4, 'other error'",1517326538414
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1021030, /cygdrive/h/Year_3/DSD/system_template_de0/software/task4v2/task4v2.elf] return code: 4, 'other error'",1517326542535
error,log,,,"Downloading ELF Process failed",1517326542546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326542589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326545364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326546799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326550036
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517326550047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326551772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326554493
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1517326555127
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517326558737
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517326560288
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517326565563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326598031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517326989740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327015010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327165153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327166250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327276168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327276603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327410049
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517327410734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327413009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327414387
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517327419278
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517327420789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327423188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327425981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327434520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327437213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327440220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327442257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327445065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327445217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517327482235
