what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1520803301118
java.specification.name,sysinfo,,,"Java Platform API Specification",1520803301118
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1520803301118
java.specification.version,sysinfo,,,"1.6",1520803301118
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1520803301118
java.version,sysinfo,,,"1.6.0_23",1520803301118
java.vm.info,sysinfo,,,"mixed mode",1520803301118
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1520803301118
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1520803301118
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1520803301118
java.vm.specification.version,sysinfo,,,"1.0",1520803301118
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1520803301118
java.vm.version,sysinfo,,,"19.0-b09",1520803301118
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1520803301886
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1520803301886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1520803319886
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1520803319919
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1520803320952
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1520803320989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1520803321111
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1520803321981
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1520803323128
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1520803324145
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1520803324212
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1520803324215
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1520803325445
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1520803326997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803327096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803357400
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1520803362382
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1520803362776
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1520803362785
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1520803362786
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1520803362787
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1520803362794
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001030] return code: 4, 'other error'",1520803365962
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001030, /cygdrive/h/Year_3/DSD/system_template_de0/software/Task7Test/Task7Test.elf] return code: 4, 'other error'",1520803370086
error,log,,,"Downloading ELF Process failed",1520803370094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803370185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803371540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803405619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803407438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803419391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803424563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803446583
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1520803450758
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520803453311
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001030] return code: 4, 'other error'",1520803454210
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001030, /cygdrive/h/Year_3/DSD/system_template_de0/software/Task7Test/Task7Test.elf] return code: 4, 'other error'",1520803458245
error,log,,,"Downloading ELF Process failed",1520803458251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803458277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803481849
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1520803482401
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1520803485097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803485806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803521212
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1520803541764
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1520803541775
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1520803544126
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1520803544165
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1520803550108
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520803552674
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001030] return code: 4, 'other error'",1520803553580
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1520803553658
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1520803556199
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001030, /cygdrive/h/Year_3/DSD/system_template_de0/software/Task7Test/Task7Test.elf] return code: 4, 'other error'",1520803557695
error,log,,,"Downloading ELF Process failed",1520803557701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803557744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803558830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803563441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803574617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803580453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803584551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520803611362
