what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1516545619440
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1516545619688
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1516545619841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1516545642639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1516545643470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516545648268
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516545649889
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1516545650612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545655946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545669925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545680196
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1516545682483
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1516545682543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545699920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1516545700016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545700449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545707320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545719549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545722029
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1516545722059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545837654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545837692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545837785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545843392
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1516545851939
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1516545856568
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1516545856582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545858229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545866021
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1516545879094
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1516545889548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545889982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545890201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516545894028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516546042182
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1516546042400
